時間,地點,餐廳/美食
25/04/03,竹南家,拎著走便當
25/04/03,竹南家,巧克力磅蛋糕
25/03/30,竹南家,麥味登
25/03/29,竹南家,崔炸雞
25/03/29,竹南家,滷肉，泡菜
25/03/29,竹南家,麵包
25/03/28,竹南,炒飯炒麵蛤蜊湯
25/03/23,竹南家,蝦餅，青菜
25/03/23,竹南家,麥味登
25/03/22,竹南家,pizza hut
25/03/22,竹南家,調理包
25/03/22,竹南,麥味登
25/03/21,竹南家,八方雲集
25/03/09,竹南家,午餐馬鈴薯，紅蘿蔔雞腿排
25/03/09,竹南家,早餐麥味登
25/03/08,竹南家,晚餐肯德基
25/03/08,竹南家,午餐咖哩
25/03/08,竹南家,早餐蔥餅
25/03/07,竹南家,八方雲集
25/03/02,竹南家,午餐玉米青菜拉麵
25/03/02,竹南,早餐Qburger
25/03/01,竹南家,晚餐五花肉
25/03/01,竹南家,午餐馬鈴薯絞肉
25/03/01,竹南家,早餐全聯蛋糕
25/02/28,竹南,晚餐燒肉政宗
25/02/28,竹南家,午餐水餃
25/02/28,竹南,早餐A bao
25/02/14,竹南,維瓦地碳烤牛排
25/02/08,士林,晴光自助餐
25/02/08,士林,小倉庫食研所
25/01/23,竹北,柴堡
25/01/18,竹南,六扇門
25/01/18,竹南,NU Pasta
24/12/31,竹南,豚野家
24/12/28,台北,大心
24/12/24,竹南,宅米，咖哩定食
24/11/29,竹北,柴堡
24/11/23,竹北,泰飽爺
24/10/26,新竹,東門市場豬排
24/10/11,竹南,深坑什麼鍋
24/9/21,新竹市,私嚐の吃飯
